405, 1
406, 4
407, 5
408, 10
409, 
410, 
411, 4
412, 6
413, 3
414, 10
415, 1
416, 10
417, 2
418, 8
419, 9
420, -1
421, 2
422, 6
423, 10
424, 9
425, 2
426, 5
427, 1
428, -1
429, 3
430, 1
431, 2
432, 4
433, -1
434, 2
435, 4
436, 6
437, 3
438, 10
439, 
440, 7
441, 
442, 10
443, 5
444, 3
445, 10
446, 3
447, 9
448, 1
449, 6
450, 3
451, 1
452, 4
453, 4
454, 3
455, 4
456, 9
457, 3
458, 
459, 6
460, 10
461, -1
462, -1
463, 7
464, 10
465, 10
466, 1
467, 4
468, 6
469, 10
470, 5
471, 9
472, 9
473, 10
474, 6
475, 10
476, 1
477, -1
478, 9
479, 6
480, 8
481, 5
482, 3
483, 
484, 1
485, 9
486, 8
