304, 9
305, 2
306, 9
307, 1
308, 2
309, 9
310, 9
311, 2
312, 10
313, -1
314, 3
315, 3
316, 5
317, 4
318, 9
319, 9
320, 4
321, 7
322, 8
323, 9
324, 2
325, 7
326, 2
327, 7
328, 5
329, 9
330, 3
331, -1
332, 10
333, 6
334, 1
335, 2
336, 7
337, 1
338, 
339, 1
340, 
341, 5
342, 10
343, 7
344, 1
345, 
346, 7
347, 3
348, 1
349, 7
350, 8
351, 5
352, 5
353, 6
354, 6
355, 2
356, 8
357, 2
358, 5
359, 3
360, 4
361, 7
362, 1
363, 2
364, 9
365, 8
366, 9
367, 5
368, 
369, 4
370, 4
371, 3
372, 3
373, 10
374, 9
375, -1
376, 8
377, 6
378, 5
379, 3
380, 7
381, 8
382, 
383, 9
384, 5
385, 6
386, 7
387, 10
388, 4
389, 7
390, 1
391, 
392, 2
393, 2
394, 7
