203, 6
204, 10
205, 9
206, 6
207, 6
208, 4
209, 5
210, 2
211, 5
212, 7
213, 2
214, 
215, 7
216, 1
217, 
218, 8
219, 4
220, 6
221, 6
222, 2
223, 4
224, 7
225, 4
226, 3
227, 8
228, 8
229, 8
230, 10
231, 4
232, 3
233, 5
234, 
235, 10
236, 1
237, 9
238, 4
239, 6
240, 1
241, 2
242, 6
243, 4
244, 3
245, 4
246, 5
247, 10
248, 7
249, 4
250, 
251, 2
252, 
253, 7
254, 
255, 6
256, 3
257, 9
258, 8
259, 9
260, 
261, 7
262, 9
263, 2
264, 2
265, 2
266, 10
267, 1
268, 
269, 4
270, -1
271, 4
272, 2
273, 7
274, 9
275, 2
276, 9
277, 10
278, 7
279, 8
280, 2
281, 10
282, 9
283, 1
284, 2
285, 4
286, 8
287, 7
288, 9
289, 4
290, 6
291, 1
292, 8
293, 1
294, 4
295, 3
